pf_ss_homicide,凶杀案件
pf_ss_disappearances_disap,失踪案件
pf_ss_disappearances_violent,暴力冲突
pf_ss_disappearances_organized,有组织冲突
pf_ss_disappearances_fatalities,恐怖袭击死亡人数
pf_ss_women_fgm,女性生殖器割礼
pf_ss_women,女性安全总分
pf_movement_domestic,国内出行自由
pf_movement_foreign,国外出行自由
pf_movement_women,女性出行自由
pf_religion_harassment,来自宗教组织的骚扰
pf_religion_restrictions,相关法律法规
pf_association_assembly,议会
pf_association_prof,专业组织总分
pf_association,协会/议会/公民社团总分
pf_expression_killed,被披露的杀人事件
pf_expression_jailed,被披露的入狱事件
pf_expression_control,对媒体内容的政治压力和控制
pf_expression_cable,对电缆/卫星的访问权限
pf_expression_newspapers,对国外媒体的访问权限
pf_expression_internet,对互联网的访问控制
pf_identity_legal,法定性别
pf_identity_sex,同性恋自由度总分
pf_identity_divorce,离婚自由度
ef_government_consumption,政府部门的财政消耗
ef_government_transfers,转移支付与紧贴福利
ef_government_enterprises,政府企业与政府投资
ef_government_tax,税率总分
ef_government_soa,资产的国家所有权
ef_legal_judicial,司法独立程度
ef_legal_courts,法庭的公正性
ef_legal_protection,产权保护程度
ef_legal_military,军队对于政法体系的干涉程度
ef_legal_integrity,法律完善程度
ef_legal_enforcement,合同的司法执行力度
ef_legal_restrictions,不动产交易的法规限制力度
ef_legal_police,警察执法公信力
ef_legal_crime,犯罪成本
ef_legal,司法系统总分
ef_money_growth,货币增值程度
ef_money_sd,通货膨胀的标准差
ef_money_inflation,近一年的通胀程度
ef_money_currency,拥有海外账户和购买外汇的自由程度
ef_money,货币政策的稳健程度
ef_trade_tariffs_mean,平均关税税率
ef_trade_tariffs_sd,关税税率的标准差
ef_trade_regulatory_nontariff,非关税壁垒
ef_trade_regulatory,受管控的贸易壁垒总分
ef_trade_black,黑市汇率
ef_trade_movement_foreign,海外所有权/投资限制
ef_trade_movement_capital,资本转移管制力度
ef_trade_movement_visit,非本国居民访问自由度
ef_regulation_credit_ownership,银行所有制
ef_regulation_credit_private,私营信贷机构
ef_regulation_credit_interest,利率控制/负数实际利率
ef_regulation_labor_minwage,招工标准与最低工资标准
ef_regulation_labor_firing,雇佣与解雇制度
ef_regulation_labor_bargain,中心化的集体谈判
ef_regulation_labor_hours,工作时间规定
ef_regulation_labor_dismissal,解雇员工的强制性费用
ef_regulation_labor_conscription,征兵制度
ef_regulation_business_adm,行政要求
ef_regulation_business_bureaucracy,官僚成本
ef_regulation_business_start,创业成本
ef_regulation_business_bribes,额外支出/行贿/偏袒
ef_regulation_business_licensing,经营许可限制
ef_regulation_business_compliance,合规税务成本
